age,income,education,work,car,default
54,29,1,0,0,0
42,40,0,0,0,0
33,40,0,0,1,0
48,30,0,0,1,0
51,17,1,1,0,0
33,55,0,0,0,0
33,15,1,0,0,0
40,30,1,0,0,0
63,70,1,0,1,0
53,60,0,0,1,0
26,35,0,0,0,1
53,6,0,0,0,1
43,35,0,0,1,0
45,21,1,1,1,1
64,18,0,0,1,0
64,23,0,0,0,1
32,32,0,0,0,0
28,30,0,0,0,0
42,65,1,0,1,0
28,70,1,1,0,0
46,45,1,0,1,0
53,18,0,0,0,0
56,15,0,0,0,0
23,15,1,0,0,1
33,28,1,1,0,0
57,7,0,0,0,1
54,150,1,1,1,0
22,45,0,0,0,1
50,25,0,1,0,0
23,15,0,0,0,0
38,47,0,0,0,0
42,15,0,0,0,0
44,15,0,0,0,0
34,50,1,0,0,0
64,22,0,0,0,0
28,75,1,0,0,0
62,24,1,0,1,0
32,48,1,1,0,0
24,15,0,0,0,0
23,28,0,0,0,0
30,50,1,0,1,0
30,20,0,0,0,0
29,55,1,0,0,0
42,15,1,0,1,0
26,80,1,0,1,0
34,25,0,0,1,0
36,22,0,0,0,0
30,35,1,1,1,0
35,60,1,1,0,0
28,30,0,0,0,0
42,40,1,0,1,0
33,35,1,0,0,0
30,12,0,0,0,0
27,45,1,0,1,0
42,15,0,0,0,0
30,36,0,0,0,0
26,45,1,0,1,0
40,150,0,0,1,0
31,38,1,0,1,0
28,85,1,0,0,0
30,45,0,1,0,1
27,45,1,0,0,0
47,30,0,0,1,1
30,45,1,0,0,0
23,17,0,0,0,0
32,50,0,0,0,0
39,100,0,0,1,0
35,30,1,0,1,0
38,17,0,0,1,0
65,33,1,0,0,1
40,85,1,0,1,1
35,25,1,1,1,0
32,25,0,0,0,0
41,40,1,0,0,0
30,20,0,0,0,0
35,18,0,0,0,0
44,25,1,0,0,0
56,21,1,0,0,0
38,15,0,0,0,0
65,10,0,0,0,0
28,30,1,1,0,0
28,20,0,0,1,0
28,35,0,1,0,1
32,50,0,0,0,0
29,12,0,0,0,0
29,30,0,0,1,0
53,30,0,0,0,0
28,9,0,0,0,0
49,17,0,0,0,0
30,35,1,0,0,0
50,40,0,0,1,0
27,36,1,1,0,1
53,15,0,0,0,0
31,70,0,0,1,0
38,170,0,0,1,0
29,30,1,0,1,0
34,50,1,0,1,0
35,80,0,0,1,0
42,22,1,0,0,0
38,70,0,0,0,0
32,25,0,0,0,0
30,30,1,0,0,0
24,32,0,0,0,0
22,50,0,1,0,1
38,13,0,0,0,0
36,22,0,0,0,0
53,80,0,0,1,0
28,9,0,1,0,1
26,25,0,0,1,0
31,60,0,0,1,0
34,35,1,0,0,0
21,20,0,0,0,0
47,25,0,0,1,1
36,24,0,0,0,0
40,15,0,0,0,0
40,45,0,0,1,0
32,35,0,0,0,0
31,150,1,0,1,0
61,24,0,0,0,1
36,30,0,0,0,1
55,150,1,0,1,0
27,45,0,0,1,0
27,50,1,1,1,1
33,20,0,0,0,0
44,24,0,0,0,0
39,25,0,0,0,0
41,30,0,0,0,0
56,28,0,0,0,0
36,120,0,0,1,0
25,35,1,0,0,1
65,8,0,0,0,0
53,70,1,0,0,0
42,24,0,0,0,1
31,12,0,0,0,0
23,27,0,0,0,0
38,100,0,0,0,0
32,18,1,0,0,0
30,45,0,0,1,0
37,18,0,0,1,0
32,45,1,0,1,0
41,45,0,1,0,0
50,91,1,1,1,0
67,40,1,0,0,0
31,25,1,0,1,0
30,25,1,0,0,0
49,180,1,1,1,0
62,24,1,0,0,0
35,35,0,0,1,0
25,25,0,0,0,0
34,30,1,0,0,0
35,30,1,0,0,0
31,100,0,0,1,0
34,60,1,0,1,0
56,15,0,0,0,0
26,160,1,0,1,0
45,50,0,0,1,0
23,18,0,0,0,0
38,80,1,1,1,0
38,50,0,0,0,0
26,60,1,0,1,0
24,25,1,0,0,0
25,60,0,0,1,0
50,14,0,0,0,0
23,40,1,0,0,0
28,20,0,0,0,0
35,40,0,0,1,0
56,6,0,0,0,0
63,100,0,0,0,0
52,70,0,0,1,1
54,35,1,0,0,0
51,55,0,0,1,0
33,32,0,0,0,0
36,15,1,1,0,0
40,23,0,0,0,0
66,28,0,1,0,0
40,60,0,0,0,0
34,45,1,0,0,0
34,25,0,0,0,0
29,50,0,0,0,0
47,28,0,0,1,0
41,27,1,0,0,0
36,10,0,0,0,0
28,8,0,0,0,0
40,120,0,0,1,0
58,11,0,0,0,0
25,25,0,0,1,0
33,50,0,0,1,0
38,21,0,0,0,0
25,50,1,0,0,0
35,40,0,0,1,1
55,40,0,0,1,0
38,41,0,0,0,0
26,48,1,0,0,0
56,18,0,1,0,0
32,50,0,0,0,0
41,50,1,1,1,0
41,90,0,0,1,0
58,28,0,0,0,0
33,34,0,0,0,0
24,18,0,0,0,0
50,80,1,0,0,0
60,30,0,1,0,0
40,45,0,0,1,0
36,50,0,0,1,0
59,60,1,0,1,0
55,50,1,0,1,0
46,35,0,0,0,0
49,12,1,0,0,0
27,35,1,0,0,1
33,16,0,0,1,0
25,30,0,0,1,0
37,40,0,0,1,0
52,25,0,1,0,0
49,18,0,0,0,0
49,35,0,0,1,1
50,45,0,0,1,0
29,50,0,0,0,0
50,250,1,0,0,0
31,15,0,1,1,1
59,43,0,1,1,0
30,25,0,0,0,0
34,7,0,0,0,1
56,50,0,0,1,0
43,15,1,0,0,0
35,60,0,0,0,0
25,50,1,0,0,0
58,65,1,1,1,0
37,30,0,0,0,0
22,20,1,1,1,0
39,80,1,0,1,0
22,45,0,0,1,0
30,45,1,1,0,0
29,48,0,0,1,1
41,40,0,1,0,0
27,50,0,1,0,0
34,50,1,0,1,0
63,15,1,0,0,1
39,35,0,0,1,0
33,30,0,0,1,0
61,15,0,1,0,0
42,65,0,0,1,0
25,25,0,0,1,0
22,18,0,0,0,1
44,40,0,0,0,1
35,20,0,0,0,0
33,37,1,0,1,0
35,55,1,0,0,1
50,15,0,1,0,0
31,95,1,0,0,0
25,40,1,0,0,0
35,41,0,0,0,0
47,28,0,0,1,0
28,52,1,0,1,0
53,35,1,1,1,0
38,30,0,1,0,1
25,30,0,0,0,0
40,50,1,0,0,0
45,60,1,0,0,0
45,15,0,0,0,0
35,60,0,0,0,1
48,35,0,0,1,0
29,55,1,0,1,0
26,30,0,0,1,0
30,45,1,1,0,0
59,80,1,0,1,0
51,18,0,0,0,0
31,100,1,0,1,0
42,25,1,0,0,0
45,30,0,0,1,0
43,100,1,1,0,0
37,70,1,0,0,0
50,30,0,0,1,0
37,42,0,0,0,0
47,30,0,0,0,0
36,3,0,0,1,0
50,25,1,1,1,1
24,35,1,0,0,1
39,40,0,0,0,0
59,40,0,0,0,0
30,30,0,0,1,0
38,21,0,0,0,0
46,32,1,0,0,0
31,30,0,1,1,0
32,30,1,0,0,0
54,20,0,0,0,0
27,7,1,1,1,0
25,60,1,1,1,0
36,60,1,0,0,0
25,9,0,0,0,0
43,13,1,1,1,0
29,20,0,0,1,0
34,16,0,1,1,0
29,15,0,1,0,0
53,15,0,0,1,0
30,30,0,0,0,0
51,30,0,0,0,0
29,28,0,0,0,1
36,12,0,0,1,0
23,20,0,0,0,1
30,25,0,0,1,0
29,20,0,0,0,0
24,40,1,0,1,0
54,17,1,0,0,0
29,42,0,0,1,0
34,300,1,0,1,0
27,35,0,0,1,1
40,50,0,0,0,0
54,15,1,0,0,0
25,15,1,0,0,0
39,35,0,0,0,0
28,50,1,0,0,0
31,25,0,0,1,0
30,100,0,0,1,0
33,30,1,0,0,0
28,30,0,0,0,0
40,54,0,0,0,0
53,40,0,0,1,0
60,42,0,1,0,0
25,40,0,1,0,1
27,50,1,1,0,0
34,67,1,0,0,0
28,30,0,0,0,0
61,11,0,0,0,0
40,80,1,0,1,0
35,50,0,0,1,0
47,26,0,0,0,0
30,25,0,0,1,0
49,20,0,0,0,0
24,10,0,0,1,0
53,404,1,0,1,0
24,29,1,0,1,0
29,50,0,1,0,0
50,21,0,0,0,0
42,39,0,0,0,1
29,45,0,0,0,0
32,90,1,1,0,0
46,35,0,0,0,0
50,35,0,0,1,0
26,17,0,0,0,0
29,27,1,0,1,0
33,30,1,0,1,0
24,40,0,0,0,0
45,50,1,0,0,0
34,37,1,1,1,0
30,25,0,1,0,0
63,85,1,1,0,0
30,50,0,0,0,0
27,15,0,0,0,1
29,30,0,0,1,0
40,30,0,0,0,0
42,45,0,1,1,0
36,90,0,0,1,1
28,28,1,0,0,0
37,25,0,0,1,0
43,150,1,0,1,0
26,60,1,0,0,0
32,38,0,0,0,0
48,200,0,0,1,0
40,100,1,0,1,0
48,100,0,0,0,0
21,17,0,0,0,1
61,6,0,0,0,1
34,90,1,0,0,0
29,50,1,1,0,0
68,150,1,0,0,0
32,85,1,0,0,0
41,25,0,0,0,1
45,35,0,0,1,0
47,20,0,0,1,0
37,10,0,0,0,0
54,90,1,0,1,0
39,115,1,0,1,0
22,18,0,0,0,0
27,30,0,0,0,0
31,5,0,0,0,0
34,210,1,0,1,0
31,50,0,0,0,0
40,80,1,0,0,0
42,20,0,0,0,0
52,35,0,0,1,0
34,15,0,0,0,1
40,63,0,0,1,1
44,35,0,0,1,0
29,12,0,0,0,1
41,120,1,0,1,1
32,140,0,0,1,0
51,30,1,0,0,0
47,30,0,0,1,1
27,10,0,0,0,1
32,13,0,0,0,0
37,60,1,0,0,0
55,44,0,1,0,0
41,45,0,0,0,0
30,35,0,0,1,0
32,32,0,0,0,0
23,70,0,0,1,0
42,40,0,0,0,1
25,19,0,0,0,1
48,30,0,0,0,0
56,70,1,0,0,0
35,250,1,0,1,0
38,150,0,0,1,1
29,65,0,0,0,0
53,15,0,0,0,0
37,20,0,0,1,0
45,60,1,0,0,0
44,15,0,0,0,0
41,70,0,0,1,0
26,50,1,0,0,0
27,25,0,0,0,0
45,110,1,0,0,0
24,30,1,1,0,0
41,300,0,0,1,1
50,13,0,0,0,0
45,60,0,0,1,0
26,50,0,0,0,0
44,40,0,0,0,0
56,28,0,0,0,0
22,15,0,0,0,1
45,20,0,0,0,0
21,25,0,0,0,1
32,30,1,1,0,0
29,15,0,0,0,0
40,40,0,1,0,0
42,18,0,0,0,0
22,60,0,0,0,0
50,20,0,0,0,0
33,45,0,0,0,0
29,10,1,0,0,0
40,30,1,0,1,0
42,120,1,0,1,0
22,35,0,0,0,0
37,20,0,0,0,0
38,40,0,0,1,0
32,35,0,0,1,0
25,20,0,0,0,0
27,21,0,0,0,0
59,24,0,0,0,0
51,90,1,0,1,0
33,25,0,0,0,1
22,28,0,1,0,0
38,50,1,1,0,0
29,29,0,1,0,0
25,20,0,0,0,1
42,55,0,0,1,0
67,24,0,0,1,0
55,50,0,0,1,1
30,30,0,0,0,0
58,11,1,1,0,1
28,30,0,0,1,1
43,36,0,0,0,0
36,30,0,0,0,1
54,70,1,0,1,0
65,30,1,1,0,0
29,12,0,0,0,1
61,64,0,0,0,0
29,15,0,0,0,1
29,90,1,0,1,0
29,8,0,0,0,1
27,35,0,0,1,0
27,60,0,0,0,0
31,20,0,0,0,0
41,100,0,0,1,0
55,42,0,0,1,0
41,50,0,0,1,0
32,200,1,1,1,0
23,24,0,0,1,0
51,100,1,0,1,0
44,16,0,1,0,0
30,18,0,0,0,0
31,14,0,1,0,0
31,12,0,0,0,0
46,23,0,1,0,1
24,40,1,0,1,1
35,80,0,0,1,0
39,25,0,1,0,0
59,50,1,1,0,0
26,25,0,0,1,1
49,35,0,0,0,0
21,15,1,0,0,1
39,27,0,0,0,0
48,26,0,0,0,0
37,30,0,0,0,1
36,150,0,0,1,0
24,23,0,0,0,0
37,25,0,0,0,0
29,18,0,0,0,1
51,50,1,0,0,0
32,78,1,1,1,0
27,35,1,0,0,0
23,50,1,0,0,0
30,60,0,0,0,0
28,30,1,0,1,0
39,15,1,0,0,0
23,180,0,0,0,1
42,40,0,0,0,0
33,28,0,0,1,0
32,13,0,1,1,0
35,40,0,0,1,0
27,27,0,1,0,0
35,70,1,0,1,0
49,25,0,0,0,0
51,97,1,0,1,0
50,28,0,0,0,0
40,100,1,1,1,0
39,50,0,0,0,0
31,30,0,0,1,0
42,50,0,0,0,1
25,55,0,0,1,1
34,40,1,0,1,0
24,30,0,0,0,0
30,5,0,0,0,1
33,40,0,0,1,0
25,15,0,0,0,1
39,28,0,0,0,1
65,10,0,0,0,0
58,45,1,0,0,0
26,21,0,0,0,1
37,26,0,1,1,0
35,35,1,0,0,0
57,19,0,0,0,0
54,35,0,0,0,0
41,20,0,0,0,0
57,60,1,0,1,0
61,19,1,0,0,0
22,40,0,0,1,1
33,20,0,0,0,0
31,18,0,1,0,0
45,50,1,0,0,0
26,120,1,1,0,1
48,60,1,0,0,0
37,17,0,1,0,0
51,20,1,0,0,0
30,12,0,0,0,0
27,28,0,0,1,0
31,45,0,0,1,1
38,43,0,0,1,1
31,60,1,0,1,0
43,15,1,0,0,0
34,35,0,1,1,0
44,80,0,0,1,0
24,25,1,0,0,0
30,55,0,0,0,0
26,45,0,0,0,0
56,35,1,1,0,0
42,25,0,0,1,0
39,60,0,1,1,0
30,58,0,1,1,0
38,30,0,0,0,0
59,11,0,0,0,0
49,25,1,0,1,0
41,70,0,0,1,0
53,13,0,0,0,0
51,27,0,0,0,0
35,50,1,0,0,0
50,50,0,0,0,0
30,30,0,0,0,0
40,25,1,0,0,1
64,26,0,1,1,1
65,22,1,0,0,0
54,25,0,1,0,0
24,38,0,0,0,0
23,15,1,0,0,0
41,30,1,0,0,1
26,30,0,0,0,0
26,25,0,0,0,0
35,50,0,0,0,0
26,28,1,0,1,1
31,12,1,1,1,0
34,35,1,0,0,0
29,50,1,0,0,0
24,75,1,0,1,0
49,30,1,0,1,0
40,22,0,0,1,0
27,75,0,0,0,1
57,30,0,1,0,0
31,18,0,0,0,0
49,100,1,0,1,0
31,39,0,0,0,1
32,25,1,0,0,0
53,10,0,0,0,0
53,35,1,0,1,0
28,80,0,0,1,0
57,20,0,0,0,0
37,35,0,0,0,0
33,20,0,0,0,0
41,45,0,0,0,1
49,65,0,1,1,1
25,25,0,0,0,0
39,197,1,0,1,0
30,15,0,0,0,1
31,11,0,0,0,0
44,80,0,0,0,0
28,35,1,1,0,0
42,30,0,0,0,0
27,34,1,0,0,0
45,40,0,0,1,0
23,35,0,0,0,0
45,50,0,0,1,0
53,32,0,0,0,0
43,16,1,0,0,0
40,15,0,0,0,0
30,70,0,0,1,0
26,15,0,0,0,0
26,60,0,0,0,0
34,40,0,1,0,0
23,15,0,0,0,0
39,45,0,0,1,0
28,40,0,1,0,0
52,80,1,1,0,1
43,13,0,0,0,0
26,30,0,0,1,0
40,35,0,0,0,0
28,30,1,0,1,1
32,30,1,1,1,0
30,35,1,1,1,0
51,23,0,0,0,0
26,30,1,1,0,0
25,30,0,0,0,1
37,60,0,0,1,1
38,80,1,0,0,0
28,15,0,0,1,0
35,28,0,0,0,0
23,20,1,0,1,0
32,15,0,0,0,0
22,15,0,0,0,1
32,27,0,0,0,0
62,12,0,0,0,0
30,35,0,0,0,0
24,10,1,0,0,0
39,40,1,1,1,1
45,50,0,0,0,0
43,25,1,0,0,0
34,10,0,0,0,0
31,35,1,0,1,0
45,40,0,0,1,0
28,29,0,0,0,0
52,16,0,0,0,0
28,12,0,0,0,0
55,34,1,0,1,0
25,25,0,0,0,0
52,22,1,0,0,0
56,20,0,0,1,0
30,47,1,0,0,0
41,35,0,0,0,0
39,30,0,1,0,0
56,10,0,0,0,0
46,13,0,0,0,0
43,16,0,0,1,1
29,27,0,0,0,0
47,30,0,0,0,0
32,30,0,0,0,0
31,85,1,0,1,0
40,50,1,1,1,0
25,30,0,0,0,0
29,13,0,1,0,1
27,15,0,0,0,0
32,37,1,0,0,0
40,34,0,1,1,0
40,150,1,0,1,0
66,28,0,0,1,1
54,6,0,0,0,0
30,70,1,0,0,0
30,45,0,0,1,0
35,18,0,0,0,1
27,30,1,0,0,1
29,80,1,1,1,0
40,20,1,1,0,0
58,33,0,0,1,0
29,11,1,1,0,0
29,25,0,0,0,0
25,9,0,0,1,0
30,30,1,0,1,0
62,18,0,0,0,1
33,20,0,1,0,1
62,10,0,0,0,0
29,35,0,0,0,0
34,50,1,0,0,0
30,30,0,0,0,0
28,60,0,1,1,0
37,20,0,0,0,0
24,10,0,0,0,0
27,10,1,0,0,0
58,15,0,0,0,0
64,40,1,1,1,0
49,30,0,0,1,0
40,80,1,0,1,0
23,25,0,1,0,0
27,35,0,1,0,1
39,100,0,0,1,1
45,45,0,0,0,0
51,87,1,0,1,0
34,56,0,1,0,0
24,45,1,0,1,0
51,70,0,0,0,0
28,6,0,0,0,1
30,50,1,0,0,0
39,24,1,0,0,0
34,25,0,0,0,0
40,30,0,0,0,0
28,105,0,0,0,0
50,27,0,0,0,0
52,40,0,0,0,0
31,7,0,0,0,0
28,120,0,0,1,0
62,32,0,0,0,0
27,8,1,0,0,0
28,25,0,0,1,0
55,11,0,0,0,0
21,35,0,0,0,0
43,24,0,1,0,0
29,40,1,1,0,0
52,34,0,0,0,0
29,45,1,0,1,0
31,40,1,0,0,0
28,60,1,0,0,0
61,45,1,0,0,0
43,35,0,0,1,0
26,45,0,0,0,0
35,36,0,0,0,0
45,40,1,0,0,0
64,18,0,0,0,0
28,33,1,0,1,0
46,17,0,1,0,0
24,20,0,0,0,0
24,50,1,0,1,1
35,23,0,0,0,0
31,40,1,0,0,0
32,29,0,0,1,0
40,15,0,1,0,0
29,45,1,0,0,1
54,12,0,0,0,1
57,25,0,0,0,0
53,39,1,0,0,0
40,120,0,0,1,0
23,40,0,0,0,1
32,12,0,0,0,0
37,35,0,0,0,0
63,30,0,0,0,0
26,65,0,0,1,0
31,30,0,0,0,1
34,60,1,0,0,0
26,20,0,0,0,0
43,40,1,0,1,0
31,20,0,0,0,0
44,18,0,0,0,0
38,14,0,0,0,0
33,40,1,0,1,0
51,20,0,0,0,0
60,10,0,0,1,0
50,15,0,0,0,0
39,35,0,0,1,0
26,12,0,0,1,0
27,20,0,0,0,0
23,25,0,0,0,0
24,18,0,0,0,0
57,90,1,0,0,0
39,35,0,0,0,1
32,18,1,1,0,1
31,20,1,1,0,0
23,15,0,0,0,0
49,24,0,0,0,0
53,20,0,0,0,0
39,30,0,0,0,0
27,80,1,0,1,0
37,40,1,0,1,0
52,50,0,0,0,0
31,25,0,0,1,0
65,11,0,0,0,0
32,38,1,1,1,0
39,30,1,1,0,0
42,50,0,0,1,0
54,28,1,0,0,0
41,12,0,0,1,0
21,15,0,0,0,0
43,40,1,0,0,0
24,40,0,0,0,1
25,15,0,0,0,0
37,35,1,0,1,0
43,23,0,0,1,0
62,10,0,0,1,0
58,70,0,0,1,0
43,120,1,0,1,0
48,47,0,0,0,0
55,25,0,0,0,1
26,30,0,1,0,0
21,20,0,1,0,0
29,200,1,0,0,0
36,110,1,0,1,0
41,70,1,0,0,0
27,50,1,1,0,0
35,20,1,1,0,0
42,40,1,1,1,0
31,30,1,0,0,0
21,32,0,1,1,0
29,40,1,0,1,0
54,80,1,0,1,0
40,100,1,0,0,0
39,55,1,0,0,0
32,30,0,0,1,0
44,78,1,0,0,0
35,25,1,1,1,0
47,150,1,1,0,0
24,45,0,1,1,0
37,50,1,0,0,1
26,30,0,0,0,0
33,48,0,0,0,0
38,40,0,0,1,0
30,30,1,1,0,0
22,45,0,0,0,0
25,45,1,0,0,0
34,58,1,1,1,0
47,150,1,0,1,0
21,10,0,0,0,1
55,60,0,0,1,0
37,18,0,0,1,0
33,58,0,0,1,0
22,30,0,0,0,0
38,50,0,0,1,0
25,50,0,1,0,0
26,60,0,0,0,0
29,60,0,0,1,0
42,30,0,0,0,0
23,29,1,0,1,0
25,30,1,0,0,0
58,10,1,1,0,0
28,160,1,1,1,0
54,50,1,0,1,0
37,60,0,0,1,0
41,55,0,0,1,0
38,30,0,0,0,0
34,115,1,0,1,0
33,65,0,1,0,0
38,24,0,1,0,0
39,25,0,0,0,0
47,35,0,0,1,0
46,11,0,0,0,0
39,40,0,0,1,0
54,80,1,0,1,0
23,70,1,1,0,0
36,50,0,0,0,0
32,20,1,1,0,0
45,27,1,1,1,0
44,130,1,0,1,1
28,45,1,1,0,0
45,45,1,0,0,0
40,60,0,1,1,1
29,70,0,0,1,0
45,19,0,0,0,0
32,32,0,0,0,0
30,50,1,0,0,0
32,15,1,0,0,0
45,37,0,1,1,0
24,39,0,0,0,0
24,50,1,0,0,0
53,47,0,0,1,0
31,35,1,0,0,0
31,52,1,1,0,0
37,15,0,0,0,0
27,25,0,0,1,0
24,50,0,0,0,0
52,75,1,0,0,0
45,30,0,0,0,0
28,50,1,0,1,0
24,30,1,0,0,0
26,40,0,0,0,0
44,120,1,0,0,0
41,50,1,0,1,0
41,12,0,0,1,1
58,13,0,1,0,0
37,28,0,0,0,0
52,210,0,0,1,0
30,45,1,0,0,1
33,33,1,1,1,0
47,60,1,0,0,0
47,25,1,0,1,0
28,35,0,0,1,1
45,36,0,0,0,1
42,16,1,0,0,0
39,60,1,1,0,0
48,150,1,0,0,0
25,40,0,0,0,0
54,30,0,0,0,0
29,30,1,0,1,1
35,38,1,1,1,0
41,27,0,0,0,0
57,7,0,0,0,1
40,50,0,0,1,0
29,22,1,1,0,0
32,33,0,1,1,0
58,35,0,0,0,0
48,50,1,0,0,0
23,24,0,0,0,0
31,25,0,0,1,0
23,25,0,0,1,1
33,35,0,0,1,1
24,40,1,1,0,0
40,24,0,1,0,0
29,20,0,0,0,0
45,80,1,0,1,0
40,55,1,1,0,0
53,12,0,0,1,0
26,35,0,0,0,0
27,35,1,0,1,0
55,30,1,0,0,0
40,60,0,0,0,0
27,25,0,1,0,0
32,8,0,0,0,0
28,45,0,0,1,0
52,20,0,0,0,0
32,40,0,0,1,0
28,25,0,0,1,0
47,65,0,1,0,0
30,45,1,0,1,0
53,25,1,0,1,0
25,34,0,0,0,0
25,20,1,1,1,0
48,35,0,1,0,0
63,9,0,0,0,0
43,15,0,0,1,0
42,50,0,0,1,0
33,15,0,0,0,0
34,35,0,0,0,0
30,70,1,0,0,0
55,35,0,0,0,0
41,20,0,0,1,0
52,50,0,0,1,0
24,45,0,0,1,0
46,30,0,0,0,0
30,35,1,0,1,0
51,20,1,0,0,0
25,25,0,0,0,0
41,45,0,0,0,1
46,30,1,1,0,0
38,25,0,0,0,0
63,40,1,1,0,0
47,40,1,1,1,0
28,100,1,0,1,0
59,60,0,1,1,1
27,34,1,0,0,0
45,40,0,0,0,1
41,15,0,0,0,0
22,22,0,0,0,0
35,15,0,0,0,0
25,10,0,0,0,0
27,50,1,0,1,0
48,24,0,0,1,0
30,20,1,0,1,1
28,80,1,0,0,0
33,20,0,0,0,0
35,35,0,0,0,1
27,15,0,0,0,0
44,30,0,0,1,1
27,22,1,0,0,0
43,17,0,0,0,0
25,18,0,0,0,1
47,50,0,1,0,0
26,31,0,0,0,0
30,12,0,1,0,0
